ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10263245,HY451128,10-05-2015 23:55,040XX W 31ST ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,TRUE,1031,10,22,30,26,1149740,1883727,2015,10-12-2015 15:56,41.83686004,-87.72604503,"(41.836860039, -87.726045031)"
10264422,HY452124,10-05-2015 23:55,014XX N LECLAIRE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2533,25,37,25,6,1142107,1909128,2015,10-12-2015 15:56,41.90670834,-87.75342426,"(41.906708336, -87.753424257)"
10265043,HY451419,10-05-2015 23:55,089XX S PARNELL AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,TRUE,2223,22,21,71,5,1174198,1845728,2015,10-12-2015 15:56,41.73207708,-87.63742752,"(41.732077084, -87.637427522)"
10263204,HY451130,10-05-2015 23:55,120XX S PERRY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,523,5,9,53,08B,1177762,1825151,2015,10-12-2015 15:56,41.6755311,-87.6249912,"(41.675531098, -87.624991204)"
10263249,HY451152,10-05-2015 23:54,078XX S DR MARTIN LUTHER KING JR DR,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,TRUE,FALSE,623,6,6,69,26,1180265,1853045,2015,10-12-2015 15:56,41.75201902,-87.61497796,"(41.752019022, -87.614977963)"
10263237,HY451142,10-05-2015 23:45,078XX S EAST END AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,414,4,8,43,24,1188900,1853236,2015,10-12-2015 15:56,41.75234095,-87.58332889,"(41.752340945, -87.583328889)"
10263235,HY451169,10-05-2015 23:43,122XX S ADA ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,TRUE,FALSE,524,5,34,53,24,1169552,1823500,2015,10-12-2015 15:56,41.67118175,-87.65508904,"(41.671181749, -87.655089038)"
10263227,HY451150,10-05-2015 23:40,063XX S MAPLEWOOD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,825,8,15,66,15,1160460,1862629,2015,10-12-2015 15:56,41.77874976,-87.6872908,"(41.778749762, -87.687290803)"
10263212,HY451114,10-05-2015 23:40,009XX E 82ND ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,FALSE,FALSE,631,6,8,44,26,1183744,1850818,2015,10-12-2015 15:56,41.74582748,-87.60229846,"(41.745827484, -87.602298459)"
10263372,HY451262,10-05-2015 23:30,061XX S SANGAMON ST,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,712,7,16,68,6,1171027,1864141,2015,10-12-2015 15:56,41.78267449,-87.64850723,"(41.782674487, -87.648507229)"
